date,state,positive,population,active_percentage
2020-12-30,AK,44966.0,731545.0,0.06146716880027886
2020-12-29,AK,44581.0,731545.0,0.06094088538640822
2020-12-28,AK,44406.0,731545.0,0.06070166565283065
2020-12-27,AK,44280.0,731545.0,0.0605294274446548
2020-12-26,AK,43990.0,731545.0,0.060133006171869126
2020-12-25,AK,43629.0,731545.0,0.05963953003574626
2020-12-24,AK,43629.0,731545.0,0.05963953003574626
2020-12-23,AK,43361.0,731545.0,0.05927318210089605
2020-12-22,AK,43001.0,731545.0,0.058781072934679345
2020-12-21,AK,42563.0,731545.0,0.05818234011578235
2020-12-20,AK,42413.0,731545.0,0.057977294629858726
2020-12-19,AK,42235.0,731545.0,0.05773397398656269
2020-12-18,AK,41905.0,731545.0,0.0572828739175307
2020-12-17,AK,41418.0,731545.0,0.056617159573232
2020-12-16,AK,41041.0,731545.0,0.05610181191861061
2020-12-15,AK,40438.0,731545.0,0.05527752906519763
2020-12-14,AK,40160.0,731545.0,0.05489751143128584
2020-12-13,AK,39738.0,731545.0,0.05432065013088737
2020-12-12,AK,39101.0,731545.0,0.05344989030066503
2020-12-11,AK,38584.0,731545.0,0.052743166859181595
2020-12-10,AK,37962.0,731545.0,0.05189291157755162
2020-12-09,AK,37342.0,731545.0,0.05104539023573396
2020-12-08,AK,36758.0,731545.0,0.05024707981053797
2020-12-07,AK,36196.0,731545.0,0.04947884272327745
2020-12-06,AK,35720.0,731545.0,0.048828165047946466
2020-12-05,AK,34963.0,731545.0,0.04779336882898523
2020-12-04,AK,34041.0,731545.0,0.046533022575508
2020-12-03,AK,33291.0,731545.0,0.045507795145889866
2020-12-02,AK,32531.0,731545.0,0.04446889801721015
2020-12-01,AK,31834.0,731545.0,0.04351611999261836
2020-11-30,AK,31323.0,731545.0,0.04281759837057187
2020-11-29,AK,30816.0,731545.0,0.04212454462815001
2020-11-28,AK,30204.0,731545.0,0.041287959045581614
2020-11-27,AK,29554.0,731545.0,0.040399428606579225
2020-11-26,AK,28892.0,731545.0,0.03949449452870295
2020-11-25,AK,28339.0,731545.0,0.03873856017059785
2020-11-24,AK,27669.0,731545.0,0.03782269033347231
2020-11-23,AK,27085.0,731545.0,0.03702437990827632
2020-11-22,AK,26587.0,731545.0,0.036343628895009875
2020-11-21,AK,26044.0,731545.0,0.03560136423596635
2020-11-20,AK,25369.0,731545.0,0.03467865954931002
2020-11-19,AK,24909.0,731545.0,0.03404985339247756
2020-11-18,AK,24419.0,731545.0,0.03338003813846038
2020-11-17,AK,23874.0,731545.0,0.03263503953960453
2020-11-16,AK,23240.0,731545.0,0.03176838061910067
2020-11-15,AK,22662.0,731545.0,0.030978272013341628
2020-11-14,AK,22020.0,731545.0,0.0301006773335885
2020-11-13,AK,21286.0,731545.0,0.029097321422468885
2020-11-12,AK,20702.0,731545.0,0.028299010997272896
2020-11-11,AK,20221.0,731545.0,0.02764149847241113
2020-11-10,AK,19734.0,731545.0,0.02697578412811242
2020-11-09,AK,19196.0,731545.0,0.026240354318599675
2020-11-08,AK,18732.0,731545.0,0.02560608028214259
2020-11-07,AK,18221.0,731545.0,0.0249075586600961
2020-11-06,AK,17618.0,731545.0,0.024083275806683117
2020-11-05,AK,17111.0,731545.0,0.023390222064261255
2020-11-04,AK,16798.0,731545.0,0.022962360483633953
2020-11-03,AK,16390.0,731545.0,0.022404636761921688
2020-11-02,AK,16007.0,731545.0,0.02188108728786336
2020-11-01,AK,15663.0,731545.0,0.021410849640145172
2020-10-31,AK,15312.0,731545.0,0.020931043203083883
2020-10-30,AK,14858.0,731545.0,0.020310438865688372
2020-10-29,AK,14481.0,731545.0,0.019795091211066988
2020-10-28,AK,14131.0,731545.0,0.019316651743911856
2020-10-27,AK,13779.0,731545.0,0.018835478336944413
2020-10-26,AK,13391.0,731545.0,0.018305094013355297
2020-10-25,AK,13041.0,731545.0,0.017826654546200166
2020-10-24,AK,12523.0,731545.0,0.017118564134810572
2020-10-23,AK,12167.0,731545.0,0.016631922848218496
2020-10-22,AK,11919.0,731545.0,0.016292914311491432
2020-10-21,AK,11680.0,731545.0,0.015966208503919787
2020-10-20,AK,11456.0,731545.0,0.015660007244940502
2020-10-19,AK,11225.0,731545.0,0.015344237196618116
2020-10-18,AK,11021.0,731545.0,0.015065375335761983
2020-10-17,AK,10811.0,731545.0,0.014778311655468905
2020-10-16,AK,10601.0,731545.0,0.014491247975175826
2020-10-15,AK,10380.0,731545.0,0.014189147625915015
2020-10-14,AK,10214.0,731545.0,0.013962230621492868
2020-10-13,AK,10059.0,731545.0,0.013750350286038453
2020-10-12,AK,9903.0,731545.0,0.01353710298067788
2020-10-11,AK,9712.0,731545.0,0.013276011728601794
2020-10-10,AK,9462.0,731545.0,0.012934269252062416
2020-10-09,AK,9232.0,731545.0,0.012619866173646186
2020-10-08,AK,9045.0,731545.0,0.012364242801194731
2020-10-07,AK,8911.0,731545.0,0.012181068833769624
2020-10-06,AK,8790.0,731545.0,0.012015665475124565
2020-10-05,AK,8643.0,731545.0,0.01181472089891941
2020-10-04,AK,8447.0,731545.0,0.011546794797312538
2020-10-03,AK,8306.0,731545.0,0.011354052040544328
2020-10-02,AK,8167.0,731545.0,0.011164043223588433
2020-10-01,AK,8026.0,731545.0,0.010971300466820223
2020-09-30,AK,7889.0,731545.0,0.010784025589676643
2020-09-29,AK,7785.0,731545.0,0.010641860719436262
2020-09-28,AK,7663.0,731545.0,0.010475090390885044
2020-09-27,AK,7549.0,731545.0,0.010319255821583087
2020-09-26,AK,7439.0,731545.0,0.010168889131905761
2020-09-25,AK,7320.0,731545.0,0.010006219713073018
2020-09-24,AK,7194.0,731545.0,0.00983398150489717
2020-09-23,AK,7063.0,731545.0,0.009654908447190535
2020-09-22,AK,6987.0,731545.0,0.009551018734322564
2020-09-21,AK,6930.0,731545.0,0.009473101449671586
2020-09-20,AK,6860.0,731545.0,0.00937741355624056
2020-09-19,AK,6752.0,731545.0,0.009229780806375548
2020-09-18,AK,6658.0,731545.0,0.009101285635196741
2020-09-17,AK,6551.0,731545.0,0.008955019855237887
2020-09-16,AK,6443.0,731545.0,0.008807387105372875
2020-09-15,AK,6393.0,731545.0,0.008739038610065
2020-09-14,AK,6350.0,731545.0,0.008680258904100227
2020-09-13,AK,6275.0,731545.0,0.008577736161138412
2020-09-12,AK,6214.0,731545.0,0.008494350996862804
2020-09-11,AK,6111.0,731545.0,0.00835355309652858
2020-09-10,AK,6022.0,731545.0,0.008231892774880562
2020-09-09,AK,5908.0,731545.0,0.008076058205578605
2020-09-08,AK,5843.0,731545.0,0.007987205161678366
2020-09-07,AK,5810.0,731545.0,0.007942095154775168
2020-09-06,AK,5776.0,731545.0,0.007895618177965812
2020-09-05,AK,5681.0,731545.0,0.007765756036880848
2020-09-04,AK,5594.0,731545.0,0.007646829655045144
2020-09-03,AK,5475.0,731545.0,0.0074841602362124
2020-09-02,AK,5387.0,731545.0,0.007363866884470539
2020-09-01,AK,5321.0,731545.0,0.007273646870664142
2020-08-31,AK,5286.0,731545.0,0.007225802923948629
