age,marital,housing,loan,duration,campaign,pdays,previous,education_numeric,P_i,is_primary,is_secondary,is_tertiary
41,1,1,0,72,1,-1,0,1,0.016512327967136777,1,0,0
49,1,1,0,269,2,-1,0,1,0.03566395031954574,1,0,0
42,1,0,0,130,4,-1,0,2,0.057246380313973715,0,1,0
37,2,1,0,375,11,-1,0,3,0.03211234487213368,0,0,1
56,1,0,0,264,2,-1,0,1,0.10400011044762586,1,0,0
39,2,0,0,257,12,-1,0,2,0.04663234416535829,0,1,0
30,2,1,0,261,6,-1,0,3,0.03649618425675161,0,0,1
37,0,1,1,214,2,-1,0,2,0.015617135304822982,0,1,0
26,1,0,0,149,1,-1,0,2,0.08858577357591761,0,1,0
55,1,0,0,340,1,91,2,3,0.3404702834587152,0,0,1
28,1,1,0,100,2,-1,0,2,0.01897602732891047,0,1,0
44,0,0,0,411,1,-1,0,2,0.2060312363602069,0,1,0
47,1,0,0,8,5,137,1,3,0.07061368489088607,0,0,1
48,0,0,1,318,1,-1,0,2,0.084797799919783,0,1,0
34,0,1,0,546,12,-1,0,3,0.037242945741282174,0,0,1
63,1,0,0,530,1,139,2,2,0.5780236851000652,0,1,0
39,1,1,1,40,1,-1,0,2,0.009969594161765962,0,1,0
42,1,0,0,180,10,-1,0,3,0.04248936785011837,0,0,1
43,1,1,0,374,1,186,7,3,0.2482204880780822,0,0,1
35,1,1,0,445,2,95,1,3,0.15514973051922057,0,0,1
40,1,1,0,661,1,-1,0,3,0.23818254751913093,0,0,1
37,2,0,0,188,1,165,2,3,0.2624442024905697,0,0,1
43,1,1,0,387,1,-1,0,2,0.08139506304988724,0,1,0
59,1,1,0,217,4,-1,0,2,0.02888677728867233,0,1,0
35,1,1,0,312,2,-1,0,3,0.06743721286538165,0,0,1
60,1,0,0,82,2,-1,0,2,0.0722350887704288,0,1,0
45,2,1,0,1010,3,326,1,2,0.7328294735457778,0,1,0
40,1,1,0,700,3,-1,0,2,0.17868836122804455,0,1,0
45,1,0,0,442,1,-1,0,2,0.26940654282509907,0,1,0
24,1,1,1,278,1,343,2,2,0.07120547897428446,0,1,0
44,1,0,0,331,2,-1,0,1,0.12050802259582605,1,0,0
42,0,1,0,150,1,-1,0,2,0.024394971373531808,0,1,0
49,1,0,0,269,2,-1,0,1,0.10518440055394594,1,0,0
52,2,1,0,154,1,-1,0,1,0.02996683888362011,1,0,0
44,2,1,0,181,4,-1,0,2,0.027183069453374654,0,1,0
54,2,0,0,209,1,-1,0,2,0.14881155129549326,0,1,0
34,2,1,0,232,1,147,2,2,0.08272520115661273,0,1,0
39,1,1,0,282,1,-1,0,2,0.048915090365090994,0,1,0
40,1,0,0,22,2,-1,0,2,0.05183527773979149,0,1,0
58,1,0,0,97,1,-1,0,2,0.08131202324490808,0,1,0
38,1,1,0,417,1,-1,0,3,0.1227382252914516,0,0,1
51,1,1,0,154,3,363,2,3,0.11723749257758488,0,0,1
45,1,0,0,113,1,-1,0,2,0.11296018475286145,0,1,0
62,1,1,1,261,1,183,1,2,0.057053411617632666,0,1,0
39,2,1,0,474,2,-1,0,3,0.1540444984403887,0,0,1
51,1,0,0,467,2,-1,0,2,0.26689715210686654,0,1,0
33,1,1,0,271,1,-1,0,2,0.048591174340895854,0,1,0
31,2,1,0,290,2,370,1,2,0.14728487837101467,0,1,0
59,1,1,0,1042,1,-1,0,2,0.5411965746465918,0,1,0
33,2,1,0,27,25,-1,0,2,0.001143303093367429,0,1,0
45,1,1,0,460,5,-1,0,1,0.04427863858352702,1,0,0
46,1,0,0,41,9,-1,0,2,0.023700159280168963,0,1,0
53,0,0,0,241,2,-1,0,1,0.07091313255626525,1,0,0
48,1,0,1,100,3,-1,0,3,0.04178535800939976,0,0,1
42,0,0,0,354,1,-1,0,1,0.11679654771053782,1,0,0
53,1,0,0,77,9,-1,0,2,0.02959377214707462,0,1,0
45,1,0,0,143,2,-1,0,1,0.07209094723380428,1,0,0
38,1,1,0,224,1,269,1,3,0.13132923579364758,0,0,1
61,1,1,0,213,5,-1,0,2,0.028442546423227667,0,1,0
59,0,1,0,206,4,-1,0,3,0.03230863043780692,0,0,1
57,1,1,0,254,2,261,3,3,0.1572840117266893,0,0,1
30,1,1,1,185,2,-1,0,3,0.02099533458704915,0,0,1
32,1,1,0,391,1,-1,0,2,0.07332446315480819,0,1,0
44,2,0,0,809,2,-1,0,2,0.64333097626145,0,1,0
31,1,1,0,206,1,-1,0,1,0.02583881301005796,1,0,0
35,1,1,0,294,2,-1,0,3,0.05703549038172416,0,0,1
